Q15 1,Q15 2,Q15 4,Q15 5,Q15 6,Q15 7,Q15 8,Q15 9
Which campus health and wellness resources would you have liked more time learning about during orientation? (Check all that apply): Student Health Services,Which campus health and wellness resources would you have liked more time learning about during orientation? (Check all that apply): Costo Hall,Which campus health and wellness resources would you have liked more time learning about during orientation? (Check all that apply): LGBT Resource Center,Which campus health and wellness resources would you have liked more time learning about during orientation? (Check all that apply): Ethnic Peer Mentorship Programs,Which campus health and wellness resources would you have liked more time learning about during orientation? (Check all that apply): Recreation Center,Which campus health and wellness resources would you have liked more time learning about during orientation? (Check all that apply): Sexual Harassment Resources,Which campus health and wellness resources would you have liked more time learning about during orientation? (Check all that apply): The Well Services and Events,Which campus health and wellness resources would you have liked more time learning about during orientation? (Check all that apply): Other
Student Health Services,Costo Hall,LGBT Resource Center,Ethnic Peer Mentorship Programs,Recreation Center,Sexual Harassment Resources,The Well Services and Events,Other (Please Specify)
Student Health Services,,,,Recreation Center,,,
,,,,,,The Well Services and Events,
,Costo Hall,,,,,,
Student Health Services,,,,Recreation Center,,,
Student Health Services,,,,,Sexual Harassment Resources,The Well Services and Events,
,Costo Hall,,Ethnic Peer Mentorship Programs,Recreation Center,,The Well Services and Events,
,,,,,,,
Student Health Services,Costo Hall,,,,,,
Student Health Services,Costo Hall,,Ethnic Peer Mentorship Programs,Recreation Center,,The Well Services and Events,
,,,,Recreation Center,,,
,,LGBT Resource Center,,Recreation Center,Sexual Harassment Resources,The Well Services and Events,
,,,,,,,
,,,Ethnic Peer Mentorship Programs,,,,
Student Health Services,Costo Hall,,Ethnic Peer Mentorship Programs,Recreation Center,,The Well Services and Events,
,,,,Recreation Center,,,
,,,,,,,
,,LGBT Resource Center,,,,,
Student Health Services,,,,,,,
,Costo Hall,,,,,,
,Costo Hall,,,Recreation Center,,The Well Services and Events,
,,,,,,,Other (Please Specify)
Student Health Services,,,,Recreation Center,,The Well Services and Events,
Student Health Services,,,,Recreation Center,,,
,,,,Recreation Center,,,
Student Health Services,Costo Hall,,,,,,
Student Health Services,Costo Hall,,,Recreation Center,,,
,Costo Hall,,,Recreation Center,,,
,,,,Recreation Center,,The Well Services and Events,
,,,,Recreation Center,,,
,,,,Recreation Center,,,
,,,Ethnic Peer Mentorship Programs,,,,
Student Health Services,,,,,Sexual Harassment Resources,,
Student Health Services,,,Ethnic Peer Mentorship Programs,Recreation Center,,,
,,,,Recreation Center,,,
Student Health Services,,,,Recreation Center,,The Well Services and Events,
,Costo Hall,,Ethnic Peer Mentorship Programs,,,,
,Costo Hall,,,,,,Other (Please Specify)
Student Health Services,,,Ethnic Peer Mentorship Programs,,Sexual Harassment Resources,The Well Services and Events,
