Pmi 5 1,Pmi 5 2,Pmi 5 3,Pmi 5 4,Pmi 5 5,Pmi 5 6,Pmi 5 7,Pmi 5 8,Pmi 5 9
"Health, Well-being & Safety (HWS) is a newly created division made up of nine departments that are dedicated to listening, supporting, and providing UC Riverside students with helpful resources and services for your overall safety and well-being.  Would you be interested in learning more about the HWS division and their services? Basic Needs - Resources for food insecurity (hunger), housing displacement/homelessness, financial crisis, etc.","Health, Well-being & Safety (HWS) is a newly created division made up of nine departments that are dedicated to listening, supporting, and providing UC Riverside students with helpful resources and services for your overall safety and well-being.  Would you be interested in learning more about the HWS division and their services? Campus Advocacy, Resources, & Education (CARE) - Advocacy and resources for issues of sexual assault, relationship violence, and stalking (2)","Health, Well-being & Safety (HWS) is a newly created division made up of nine departments that are dedicated to listening, supporting, and providing UC Riverside students with helpful resources and services for your overall safety and well-being.  Would you be interested in learning more about the HWS division and their services? Counseling and Psychological Services (CAPS) â€“ Mental health services, therapy, education, and resources (3)","Health, Well-being & Safety (HWS) is a newly created division made up of nine departments that are dedicated to listening, supporting, and providing UC Riverside students with helpful resources and services for your overall safety and well-being.  Would you be interested in learning more about the HWS division and their services? Student Affairs Case Management - Problem solving support, resources and advocacy for external challenges that impact a studentâ€™s personal and/or academic success (4)","Health, Well-being & Safety (HWS) is a newly created division made up of nine departments that are dedicated to listening, supporting, and providing UC Riverside students with helpful resources and services for your overall safety and well-being.  Would you be interested in learning more about the HWS division and their services? Student Disability Resource Center - Disability-related accommodations, resources, education, and advocacy for equal accessibility (5)","Health, Well-being & Safety (HWS) is a newly created division made up of nine departments that are dedicated to listening, supporting, and providing UC Riverside students with helpful resources and services for your overall safety and well-being.  Would you be interested in learning more about the HWS division and their services? Student Health Services - High-quality, accessible, and comprehensive medical care to students (6)","Health, Well-being & Safety (HWS) is a newly created division made up of nine departments that are dedicated to listening, supporting, and providing UC Riverside students with helpful resources and services for your overall safety and well-being.  Would you be interested in learning more about the HWS division and their services? UC Police Department â€“ Crime prevention, campus safety, training, and resources (7)","Health, Well-being & Safety (HWS) is a newly created division made up of nine departments that are dedicated to listening, supporting, and providing UC Riverside students with helpful resources and services for your overall safety and well-being.  Would you be interested in learning more about the HWS division and their services? The Well â€“ Student health and well-being programs, resources, education, and training (8)","Health, Well-being & Safety (HWS) is a newly created division made up of nine departments that are dedicated to listening, supporting, and providing UC Riverside students with helpful resources and services for your overall safety and well-being.  Would you be interested in learning more about the HWS division and their services? SWIFT â€“ Student Well-Being Intervention & Follow-Up Team (Mobile Crisis Response & Intervention) (9)"
No,No,No,No,No,No,No,No,No
No,No,No,No,No,No,No,No,No
,,,,,,,,
,,,,,,,,
HWS - Basic Needs,"HWS - Campus Advocacy, Resources, & Education (CARE)",HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,No,HWS - Student Health Services,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,HWS - SWIFT
HWS - Basic Needs,"HWS - Campus Advocacy, Resources, & Education (CARE)",HWS - Counseling and Psychological Services (CAPS),No,No,No,No,No,No
No,No,No,No,No,No,No,No,No
,,,,,,,,
HWS - Basic Needs,"HWS - Campus Advocacy, Resources, & Education (CARE)",HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,No,HWS - Student Health Services,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,HWS - SWIFT
No,No,No,No,No,No,No,No,No
No,No,No,No,No,No,HWS - UCR Police and Campus Safety Dept.,No,No
HWS - Basic Needs,"HWS - Campus Advocacy, Resources, & Education (CARE)",No,No,No,No,No,HWS - The Well,No
,,,,,,,,
,,,,,,,,
No,No,No,No,No,HWS - Student Health Services,No,No,No
No,No,No,No,No,No,No,No,No
,,,,,,,,
HWS - Basic Needs,"HWS - Campus Advocacy, Resources, & Education (CARE)",No,HWS - Case Management,Student Disability Resource Center,HWS - Student Health Services,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,HWS - SWIFT
,,,,,,,,
HWS - Basic Needs,"HWS - Campus Advocacy, Resources, & Education (CARE)",HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,Student Disability Resource Center,HWS - Student Health Services,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,HWS - SWIFT
HWS - Basic Needs,No,HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,No,No,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,No
HWS - Basic Needs,No,HWS - Counseling and Psychological Services (CAPS),No,No,HWS - Student Health Services,No,HWS - The Well,No
,,,,,,,,
No,No,No,HWS - Case Management,No,No,No,HWS - The Well,HWS - SWIFT
No,No,HWS - Counseling and Psychological Services (CAPS),No,No,HWS - Student Health Services,HWS - UCR Police and Campus Safety Dept.,No,No
No,No,No,No,No,No,No,No,No
No,No,No,No,No,No,No,No,No
No,No,No,No,No,No,No,No,No
No,No,HWS - Counseling and Psychological Services (CAPS),No,No,No,No,HWS - The Well,No
HWS - Basic Needs,No,No,No,No,No,No,HWS - The Well,No
No,No,No,No,No,No,No,No,No
No,No,No,No,No,No,No,No,No
No,No,No,No,No,No,No,No,No
No,"HWS - Campus Advocacy, Resources, & Education (CARE)",HWS - Counseling and Psychological Services (CAPS),HWS - Case Management,No,HWS - Student Health Services,HWS - UCR Police and Campus Safety Dept.,HWS - The Well,HWS - SWIFT
,,,,,,,,
No,No,HWS - Counseling and Psychological Services (CAPS),No,No,HWS - Student Health Services,HWS - UCR Police and Campus Safety Dept.,No,No
No,"HWS - Campus Advocacy, Resources, & Education (CARE)",HWS - Counseling and Psychological Services (CAPS),No,No,No,No,No,No
